codigo_abonado,cedula,nombre,telefono
TCF100000,1090000000,Ana Acosta Franco,3105000000
C100001,1090000001,Beatriz Hincapié Tabares,3105000001
SG100002,1090000002,Camila Peláez Higuita,3105000002
SG100003,1090000003,Diana Wilches Ibarra,3105000003
TC100004,1090000004,Elena Espinal Wilches,3105000004
TC100005,1090000005,Fabiola Muñoz Leal,3105000005
TC100006,1090000006,Gloria Gómez Montoya,3105000006
DQ100007,1090000007,Helena Ocampo Arcila,3105000007
DQ100008,1090000008,Irene Valderrama Bermúdez,3105000008
SG100009,1090000009,Julia Delgado Peláez,3105000009
SG100010,1090000010,Karen Leal Delgado,3105000010
SR100011,1090000011,Laura Franco Escudero,3105000011
DQ100012,1090000012,Marta Nieto Salgado,3105000012
TC100013,1090000013,Nidia Urrego Galvis,3105000013
C100014,1090000014,Olga Cuartas Hincapié,3105000014
C100015,1090000015,Paula Jurado Valderrama,3105000015
C100016,1090000016,Rocío Escudero Jurado,3105000016
TC100017,1090000017,Sandra Montoya Lemus,3105000017
DQ100018,1090000018,Tatiana Tabares Zapata,3105000018
TC100019,1090000019,Úrsula Bohórquez Acosta,3105000019
DQ100020,1090000020,Valeria Isaza Ocampo,3105000020
DQ100021,1090000021,Ximena Duarte Cuartas,3105000021
DQ100022,1090000022,Yolanda Lemus Duarte,3105000022
TC100023,1090000023,Zulma Salgado Rendón,3105000023
TC100024,1090000024,Alberto Arcila Forero,3105000024
TC100025,1090000025,Bernardo Higuita Gómez,3105000025
DQ100026,1090000026,Carlos Cadavid Urrego,3105000026
TC100027,1090000027,Damián Jaramillo Isaza,3105000027
DQ100028,1090000028,Eduardo Rendón Jaramillo,3105000028
DQ100029,1090000029,Fabián Zapata Yepes,3105000029
VG100030,1090000030,Germán Galvis Muñoz,3105000030
DQ100031,1090000031,Hernán Bermúdez Nieto,3105000031
TC100032,1090000032,Iván Ibarra Bohórquez,3105000032
TC100033,1090000033,Jaime Quiroga Cadavid,3105000033
SR100034,1090000034,Kevin Yepes Quiroga,3105000034
DQ100035,1090000035,Leonardo Forero Espinal,3105000035
DQ100036,1090000036,Mauricio Acosta Franco,3105000036
TC100037,1090000037,Nelson Hincapié Tabares,3105000037
DQ100038,1090000038,Óscar Peláez Higuita,3105000038
DQ100039,1090000039,Pablo Wilches Ibarra,3105000039
DQ100040,1090000040,Ramiro Espinal Wilches,3105000040
TCF100041,1090000041,Sergio Muñoz Leal,3105000041
TC100042,1090000042,Tomás Gómez Montoya,3105000042
SR100043,1090000043,Ulises Ocampo Arcila,3105000043
DQ100044,1090000044,Vicente Valderrama Bermúdez,3105000044
CH100045,1090000045,Wilson Delgado Peláez,3105000045
DQ100046,1090000046,Yesid Leal Delgado,3105000046
DQ100047,1090000047,Zacarías Franco Escudero,3105000047
CH100048,1090000048,Ana Nieto Salgado,3105000048
SR100049,1090000049,Beatriz Urrego Galvis,3105000049
SR100050,1090000050,Camila Cuartas Hincapié,3105000050
C100051,1090000051,Diana Jurado Valderrama,3105000051
TC100052,1090000052,Elena Escudero Jurado,3105000052
CH100053,1090000053,Fabiola Montoya Lemus,3105000053
DQ100054,1090000054,Gloria Tabares Zapata,3105000054
CH100055,1090000055,Helena Bohórquez Acosta,3105000055
C100056,1090000056,Irene Isaza Ocampo,3105000056
SR100057,1090000057,Julia Duarte Cuartas,3105000057
C100058,1090000058,Karen Lemus Duarte,3105000058
SR100059,1090000059,Laura Salgado Rendón,3105000059
DQ100060,1090000060,Marta Arcila Forero,3105000060
DQ100061,1090000061,Nidia Higuita Gómez,3105000061
VG100062,1090000062,Olga Cadavid Urrego,3105000062
VG100063,1090000063,Paula Jaramillo Isaza,3105000063
DQ100064,1090000064,Rocío Rendón Jaramillo,3105000064
TCF100065,1090000065,Sandra Zapata Yepes,3105000065
TC100066,1090000066,Tatiana Galvis Muñoz,3105000066
TCF100067,1090000067,Úrsula Bermúdez Nieto,3105000067
DQ100068,1090000068,Valeria Ibarra Bohórquez,3105000068
C100069,1090000069,Ximena Quiroga Cadavid,3105000069
DQ100070,1090000070,Yolanda Yepes Quiroga,3105000070
CH100071,1090000071,Zulma Forero Espinal,3105000071
TC100072,1090000072,Alberto Acosta Franco,3105000072
CH100073,1090000073,Bernardo Hincapié Tabares,3105000073
C100074,1090000074,Carlos Peláez Higuita,3105000074
SR100075,1090000075,Damián Wilches Ibarra,3105000075
SR100076,1090000076,Eduardo Espinal Wilches,3105000076
DQ100077,1090000077,Fabián Muñoz Leal,3105000077
VG100078,1090000078,Germán Gómez Montoya,3105000078
DQ100079,1090000079,Hernán Ocampo Arcila,3105000079
TC100080,1090000080,Iván Valderrama Bermúdez,3105000080
C100081,1090000081,Jaime Delgado Peláez,3105000081
DQ100082,1090000082,Kevin Leal Delgado,3105000082
CH100083,1090000083,Leonardo Franco Escudero,3105000083
VG100084,1090000084,Mauricio Nieto Salgado,3105000084
DQ100085,1090000085,Nelson Urrego Galvis,3105000085
TC100086,1090000086,Óscar Cuartas Hincapié,3105000086
CH100087,1090000087,Pablo Jurado Valderrama,3105000087
SR100088,1090000088,Ramiro Escudero Jurado,3105000088
C100089,1090000089,Sergio Montoya Lemus,3105000089
CH100090,1090000090,Tomás Tabares Zapata,3105000090
CH100091,1090000091,Ulises Bohórquez Acosta,3105000091
TC100092,1090000092,Vicente Isaza Ocampo,3105000092
